,missing_count,missing_pct
CANCELLATION_CODE,97373,97.37
DELAY_DUE_LATE_AIRCRAFT,82008,82.01
DELAY_DUE_SECURITY,82008,82.01
DELAY_DUE_NAS,82008,82.01
DELAY_DUE_WEATHER,82008,82.01
DELAY_DUE_CARRIER,82008,82.01
AIR_TIME,2852,2.85
ELAPSED_TIME,2852,2.85
ARR_DELAY,2852,2.85
WHEELS_ON,2655,2.66
ARR_TIME,2655,2.66
TAXI_IN,2655,2.66
WHEELS_OFF,2618,2.62
TAXI_OUT,2618,2.62
DEP_DELAY,2577,2.58
DEP_TIME,2576,2.58
ORIGIN_CITY,0,0.0
AIRLINE_DOT,0,0.0
AIRLINE_CODE,0,0.0
DOT_CODE,0,0.0
FL_NUMBER,0,0.0
DISTANCE,0,0.0
ORIGIN,0,0.0
DIVERTED,0,0.0
CRS_ELAPSED_TIME,0,0.0
DEST,0,0.0
CANCELLED,0,0.0
DEST_CITY,0,0.0
CRS_DEP_TIME,0,0.0
CRS_ARR_TIME,0,0.0
AIRLINE,0,0.0
FL_DATE,0,0.0
